iter	RMSE
0	14.56951847
1	14.17327037
2	13.74316816
3	13.32225689
4	12.95479371
5	12.60533702
6	12.28634716
7	12.01264372
8	11.68537841
9	11.37452274
10	11.0646733
11	10.77913626
12	10.53941625
13	10.26886159
14	10.03671709
15	9.810010614
16	9.62051622
17	9.43155875
18	9.234124544
19	9.071462633
20	8.87585014
21	8.701479622
22	8.547761373
23	8.415928059
24	8.280647183
25	8.148561496
26	8.038435549
27	7.917986132
28	7.809991049
29	7.707355185
30	7.591125574
31	7.501961864
32	7.394476695
33	7.315108943
34	7.230865394
35	7.161300166
36	7.076083393
37	7.006872242
38	6.925633436
39	6.850935719
40	6.780752378
41	6.711584126
42	6.657393072
43	6.595510075
44	6.539316152
45	6.488760161
46	6.445411316
47	6.396790376
48	6.351344513
49	6.313459986
50	6.273222663
51	6.238653248
52	6.196373016
53	6.15925448
54	6.122520823
55	6.085558398
56	6.059177941
57	6.027043326
58	5.997888895
59	5.970870926
60	5.943024312
61	5.918904343
62	5.899945563
63	5.875864909
64	5.857261992
65	5.839855333
66	5.82519271
67	5.811310891
68	5.788330493
69	5.770549474
70	5.750411844
71	5.730983988
72	5.713722377
73	5.695937569
74	5.684026505
75	5.67101375
76	5.656594697
77	5.642388851
78	5.630045713
79	5.615427302
80	5.599962213
81	5.58345303
82	5.569985635
83	5.561788216
84	5.552235557
85	5.543491519
86	5.528784648
87	5.518771553
88	5.503463157
89	5.496242651
90	5.487355704
91	5.481397117
92	5.473384775
93	5.465050121
94	5.458758376
95	5.451907431
96	5.446609517
97	5.440897628
98	5.431339598
99	5.426245432
100	5.417407249
101	5.413764165
102	5.406417182
103	5.398900939
104	5.395351384
105	5.391057976
106	5.386468164
107	5.381420265
108	5.377622173
109	5.370992718
110	5.36437119
111	5.360104738
112	5.356924303
113	5.351784807
114	5.342461884
115	5.337893898
116	5.332864098
117	5.329995389
118	5.325310625
119	5.321679473
120	5.318580576
121	5.315517629
122	5.306513404
123	5.300406575
124	5.298203403
125	5.295167848
126	5.292008463
127	5.287825405
128	5.283376986
129	5.280222438
130	5.273034256
131	5.268549322
132	5.268063423
133	5.264244001
134	5.25999957
135	5.254512082
136	5.249790563
137	5.246164372
138	5.243119346
139	5.239955852
140	5.236567536
141	5.230073904
142	5.226657646
143	5.22455506
144	5.220600429
145	5.216816273
146	5.210381647
147	5.206826326
148	5.204934304
149	5.202094772
150	5.199736117
151	5.1967332
152	5.194682787
153	5.19314909
154	5.190879049
155	5.189058326
156	5.188776509
157	5.186523666
158	5.18391292
159	5.183440142
160	5.17914473
161	5.17494233
162	5.172372591
163	5.169858981
164	5.165196326
165	5.161870095
166	5.16009437
167	5.155566162
168	5.153579332
169	5.149350872
170	5.148260432
171	5.147374837
172	5.144811234
173	5.140030827
174	5.139172143
175	5.133990063
176	5.131452118
177	5.130181793
178	5.127586392
179	5.123833051
180	5.12038322
181	5.119925496
182	5.119738388
183	5.11824787
184	5.115647808
185	5.114095734
186	5.110227501
187	5.110030395
188	5.108756219
189	5.108354495
190	5.105990962
191	5.104766556
192	5.104587002
193	5.100805425
194	5.100417763
195	5.099677114
196	5.099306867
197	5.099209032
198	5.095278392
199	5.09471298
