iter	Passed	Remaining
0	0	881
1	1	860
2	2	915
3	4	1153
4	5	1068
5	6	1020
6	6	971
7	7	930
8	8	911
9	8	883
10	10	941
11	11	949
12	12	929
13	12	910
14	13	891
15	14	873
16	14	856
17	15	843
18	16	830
19	16	822
20	18	839
21	18	842
22	19	833
23	20	825
24	20	816
25	21	810
26	22	802
27	22	794
28	23	787
29	24	781
30	25	801
31	26	800
32	27	793
33	27	786
34	28	781
35	28	776
36	29	771
37	30	766
38	30	761
39	31	758
40	33	772
41	33	769
42	34	765
43	35	760
44	35	757
45	36	755
46	37	751
47	37	749
48	38	748
49	41	782
50	42	782
51	42	778
52	43	775
53	44	770
54	44	766
55	45	763
56	45	760
57	48	787
58	49	786
59	49	782
60	50	779
61	51	776
62	51	772
63	52	769
64	53	765
65	53	762
66	54	764
67	55	765
68	56	761
69	57	758
70	57	756
71	58	754
72	59	752
73	59	749
74	60	746
75	61	743
76	62	750
77	63	750
78	64	747
79	64	743
80	65	740
81	65	737
82	66	731
83	66	728
84	67	726
85	68	726
86	71	750
87	72	752
88	73	752
89	74	749
90	74	746
91	75	743
92	75	740
93	77	743
94	78	744
95	78	743
96	79	740
97	80	737
98	80	735
99	81	732
100	81	729
101	82	726
102	83	724
103	84	724
104	85	728
105	86	725
106	86	723
107	87	721
108	87	718
109	88	716
110	89	713
111	89	711
112	90	708
113	90	706
114	92	709
115	93	708
116	93	705
117	94	707
118	95	707
119	96	707
120	97	706
121	97	703
122	98	701
123	99	705
124	100	704
125	101	702
126	101	699
127	102	697
128	102	695
129	103	693
130	104	690
131	104	688
132	105	686
133	107	696
134	108	696
135	109	694
136	110	693
137	110	691
138	111	688
139	111	686
140	112	684
141	112	681
142	114	683
143	114	683
144	115	681
145	116	679
146	116	677
147	117	676
148	118	674
149	118	672
150	119	670
151	120	669
152	122	677
153	123	676
154	123	674
155	124	673
156	125	671
157	125	670
158	126	668
159	126	666
160	127	663
161	128	665
162	129	666
163	130	665
164	131	664
165	132	663
166	132	661
167	133	660
168	134	659
169	134	658
170	136	662
171	137	664
172	138	663
173	139	662
174	140	661
175	140	659
176	142	661
177	143	661
178	143	659
179	144	658
180	145	657
181	145	655
182	146	654
183	147	652
184	147	651
185	149	652
186	149	652
187	150	650
188	151	649
189	151	647
190	152	646
191	153	645
192	154	644
193	154	642
194	155	642
195	156	642
196	157	641
197	158	640
198	158	638
199	159	637
200	159	635
201	160	633
202	161	632
203	161	630
204	163	633
205	164	632
206	164	631
207	165	629
208	165	627
209	166	626
210	167	624
211	167	622
212	168	621
213	168	619
214	169	620
215	170	620
216	171	618
217	172	617
218	172	615
219	173	614
220	173	613
221	174	611
222	175	610
223	175	608
224	176	609
225	177	608
226	178	607
227	179	606
228	179	605
229	180	603
230	180	602
231	181	601
232	182	600
233	183	599
234	185	602
235	185	601
236	186	600
237	187	599
238	187	597
239	188	596
240	189	595
241	189	594
242	190	592
243	192	594
244	192	594
245	193	593
246	194	592
247	194	591
248	195	589
249	196	588
250	196	587
251	197	585
252	198	584
253	199	586
254	201	589
255	202	589
256	203	588
257	204	587
258	204	586
259	206	587
260	207	587
261	208	586
262	208	584
263	209	583
264	209	582
265	210	580
266	211	579
267	211	578
268	212	577
269	214	578
270	214	578
271	215	577
272	216	575
273	216	574
274	217	573
275	218	572
276	218	571
277	219	570
278	220	569
279	221	569
280	222	569
281	223	568
282	224	567
283	224	566
284	225	565
285	225	563
286	226	562
287	227	561
288	230	566
289	231	566
290	232	566
291	233	566
292	234	566
293	236	568
294	237	567
295	238	566
296	239	565
297	239	564
298	240	563
299	241	562
300	241	561
301	242	560
302	244	561
303	244	560
304	245	559
305	246	558
306	246	557
307	247	556
308	248	555
309	248	554
310	249	553
311	250	553
312	251	552
313	252	551
314	253	550
315	253	549
316	254	548
317	255	546
318	255	545
319	256	544
320	257	543
321	258	544
322	259	544
323	260	543
324	261	542
325	261	541
326	262	540
327	263	539
328	263	538
329	264	536
330	265	536
331	266	536
332	267	535
333	267	534
334	268	532
335	269	531
336	270	531
337	270	530
338	271	529
339	272	529
340	273	529
341	274	528
342	275	527
343	275	525
344	276	524
345	276	523
346	277	522
347	278	521
348	278	519
349	279	518
350	280	518
351	281	517
352	281	516
353	282	515
354	283	514
355	283	513
356	284	512
357	284	510
358	285	510
359	286	509
360	287	509
361	288	508
362	289	507
363	289	506
364	290	504
365	290	503
366	291	502
367	292	501
368	292	500
369	293	499
370	294	498
371	294	497
372	295	496
373	296	495
374	296	494
375	297	493
376	297	492
377	299	492
378	300	492
379	302	493
380	303	492
381	303	491
382	304	490
383	304	489
384	305	488
385	306	487
386	306	486
387	307	485
388	308	483
389	308	483
390	309	482
391	310	482
392	311	481
393	312	480
394	313	479
395	313	478
396	314	477
397	314	476
398	315	475
399	316	474
400	317	473
401	318	473
402	318	472
403	319	470
404	319	469
405	320	468
406	320	467
407	321	466
408	322	465
409	322	464
410	323	464
411	324	463
412	325	462
413	326	461
414	326	460
415	327	459
416	327	458
417	328	457
418	328	456
419	329	454
420	330	454
421	331	454
422	332	453
423	333	452
424	333	451
425	334	450
426	335	450
427	336	449
428	337	449
429	338	449
430	339	448
431	340	448
432	342	447
433	343	447
434	343	446
435	345	447
436	346	446
437	347	445
438	348	445
439	349	445
440	350	444
441	351	443
442	352	443
443	355	444
444	356	444
445	357	443
446	357	442
447	358	441
448	360	441
449	360	441
450	361	440
451	363	440
452	364	439
453	365	439
454	368	440
455	370	442
456	371	441
457	372	440
458	372	439
459	374	439
460	375	439
461	376	438
462	377	437
463	377	436
464	379	436
465	380	436
466	382	436
467	383	435
468	384	434
469	384	433
470	385	432
471	386	431
472	386	430
473	388	430
474	389	430
475	390	430
476	391	429
477	392	428
478	393	427
479	395	428
480	397	428
481	398	427
482	398	426
483	399	425
484	399	424
485	400	423
486	404	426
487	406	426
488	407	425
489	408	425
490	410	425
491	411	424
492	412	424
493	413	423
494	413	422
495	414	421
496	415	420
497	416	420
498	418	419
499	419	419
500	419	418
501	421	417
502	421	416
503	422	415
504	423	414
505	425	414
506	425	414
507	426	413
508	427	412
509	428	411
510	429	410
511	430	410
512	432	410
513	433	410
514	434	409
515	435	408
516	435	406
517	436	406
518	437	405
519	437	404
520	439	404
521	440	403
522	441	402
523	442	401
524	442	400
525	443	399
526	444	398
527	445	398
528	447	398
529	448	397
530	449	396
531	449	395
532	450	394
533	451	393
534	454	394
535	455	394
536	456	393
537	458	393
538	459	392
539	461	393
540	463	393
541	465	393
542	466	392
543	468	392
544	470	393
545	472	392
546	473	392
547	474	391
548	475	390
549	476	390
550	478	389
551	479	389
552	480	388
553	481	387
554	483	387
555	484	386
556	485	386
557	486	385
558	487	384
559	487	383
560	488	382
561	491	382
562	491	381
563	492	380
564	493	380
565	494	379
566	495	378
567	496	377
568	498	377
569	499	376
570	499	375
571	501	374
572	502	374
573	503	373
574	504	372
575	505	372
576	506	371
577	507	370
578	507	369
579	508	368
580	509	367
581	509	366
582	510	365
583	512	364
584	512	363
585	513	362
586	514	361
587	515	360
588	515	359
589	516	358
590	517	357
591	517	356
592	519	356
593	520	355
594	520	354
595	521	353
596	522	352
597	523	351
598	523	350
599	524	349
600	525	348
601	526	348
602	527	347
603	528	346
604	529	345
605	530	345
606	531	344
607	532	343
608	534	343
609	535	342
610	536	341
611	538	341
612	539	340
613	541	340
614	542	339
615	543	338
616	544	337
617	545	336
618	546	336
619	547	335
620	549	335
621	550	334
622	550	333
623	551	332
624	552	331
625	552	330
626	553	329
627	554	328
628	554	327
629	555	326
630	556	325
631	557	324
632	558	323
633	559	323
634	560	322
635	563	322
636	564	321
637	564	320
638	565	319
639	566	318
640	566	317
641	567	316
642	568	315
643	571	315
644	572	315
645	575	315
646	578	315
647	580	315
648	581	314
649	582	313
650	583	312
651	583	311
652	586	311
653	587	310
654	588	309
655	589	309
656	589	308
657	590	307
658	591	306
659	593	305
660	594	304
661	595	303
662	595	302
663	596	301
664	597	300
665	598	299
666	599	299
667	601	298
668	602	298
669	603	297
670	604	296
671	605	295
672	607	295
673	608	294
674	609	293
675	610	292
676	611	291
677	612	290
678	613	289
679	614	289
680	615	288
681	616	287
682	616	286
683	617	285
684	618	284
685	618	283
686	619	282
687	622	282
688	623	281
689	624	280
690	624	279
691	625	278
692	626	277
693	627	276
694	627	275
695	629	274
696	630	273
697	630	273
698	631	271
699	632	270
700	632	269
701	633	268
702	634	268
703	635	267
704	636	266
705	637	265
706	638	264
707	639	263
708	640	262
709	641	261
710	642	260
711	643	260
712	644	259
713	646	258
714	647	257
715	647	256
716	648	255
717	649	254
718	651	254
719	652	253
720	653	252
721	654	251
722	654	250
723	655	249
724	656	248
725	656	247
726	659	247
727	660	246
728	661	245
729	662	245
730	663	244
731	665	243
732	666	242
733	667	242
734	668	241
735	669	240
736	669	239
737	674	239
738	675	238
739	676	237
740	677	236
741	680	236
742	681	235
743	683	235
744	683	234
745	684	233
746	685	232
747	686	231
748	687	230
749	689	229
750	690	228
751	690	227
752	692	227
753	694	226
754	695	225
755	697	225
756	698	224
757	699	223
758	701	222
759	702	221
760	704	221
761	705	220
762	706	219
763	708	218
764	710	218
765	711	217
766	713	216
767	714	215
768	715	214
769	716	214
770	718	213
771	719	212
772	720	211
773	721	210
774	723	209
775	724	209
776	725	208
777	726	207
778	726	206
779	727	205
780	729	204
781	730	203
782	731	202
783	732	201
784	733	200
785	734	199
786	735	198
787	736	198
788	738	197
789	740	196
790	741	195
791	742	194
792	744	194
793	745	193
794	746	192
795	748	191
796	748	190
797	749	189
798	751	188
799	751	187
800	753	187
801	754	186
802	755	185
